"URL","Title","Season","Episode","Show"
"https://www.mtv.com/episodes/b81ga1/mtv-revenge-prank-the-prank-that-works-out-season-1-ep-23","- MTV Revenge Prank (Video Playlist) | MTV",1,23,"- MTV Revenge Prank (Video Playlist) | MTV"
"https://www.mtv.com/episodes/qzk9bl/16-and-pregnant-farrah-season-1-ep-2","16 and Pregnant - Season 1, Ep. 2 - Farrah - Full Episode | MTV",1,2,"16 and Pregnant"
"https://www.mtv.com/episodes/402vwt/16-and-pregnant-ebony-season-1-ep-4","16 and Pregnant - Season 1, Ep. 4 - Ebony - Full Episode | MTV",1,4,"16 and Pregnant"
"https://www.mtv.com/episodes/r0m7af/16-and-pregnant-whitney-season-1-ep-5","16 and Pregnant - Season 1, Ep. 5 - Whitney - Full Episode | MTV",1,5,"16 and Pregnant"
"https://www.mtv.com/episodes/ddl1r0/16-and-pregnant-reunion-life-after-labor-season-1-ep-7","16 and Pregnant - Season 1, Ep. 7 - Reunion - Life After Labor - Full Episode | MTV",1,7,"16 and Pregnant"
"https://www.mtv.com/episodes/kwu7o3/16-and-pregnant-kailyn-season-2-ep-10","16 and Pregnant - Season 2, Ep. 10 - Kailyn - Full Episode | MTV",2,10,"16 and Pregnant"
"https://www.mtv.com/episodes/8d0so8/16-and-pregnant-brooke-season-2-ep-11","16 and Pregnant - Season 2, Ep. 11 - Brooke - Full Episode | MTV",2,11,"16 and Pregnant"
"https://www.mtv.com/episodes/vtlmfm/16-and-pregnant-felicia-season-2-ep-12","16 and Pregnant - Season 2, Ep. 12 - Felicia - Full Episode | MTV",2,12,"16 and Pregnant"
"https://www.mtv.com/episodes/lybx6r/16-and-pregnant-emily-season-2-ep-13","16 and Pregnant - Season 2, Ep. 13 - Emily - Full Episode | MTV",2,13,"16 and Pregnant"
"https://www.mtv.com/episodes/fdtngr/16-and-pregnant-kayla-season-2-ep-17","16 and Pregnant - Season 2, Ep. 17 - Kayla - Full Episode | MTV",2,17,"16 and Pregnant"
"https://www.mtv.com/episodes/9cxyzb/16-and-pregnant-megan-season-2-ep-18","16 and Pregnant - Season 2, Ep. 18 - Megan - Full Episode | MTV",2,18,"16 and Pregnant"
"https://www.mtv.com/episodes/ufgzxw/16-and-pregnant-ashley-season-2-ep-19","16 and Pregnant - Season 2, Ep. 19 - Ashley - Full Episode | MTV",2,19,"16 and Pregnant"
"https://www.mtv.com/episodes/gz0ln4/16-and-pregnant-nikkole-season-2-ep-2","16 and Pregnant - Season 2, Ep. 2 - Nikkole - Full Episode | MTV",2,2,"16 and Pregnant"
"https://www.mtv.com/episodes/yrlnc4/16-and-pregnant-valerie-season-2-ep-3","16 and Pregnant - Season 2, Ep. 3 - Valerie - Full Episode | MTV",2,3,"16 and Pregnant"
"https://www.mtv.com/episodes/mwczz0/16-and-pregnant-lori-season-2-ep-5","16 and Pregnant - Season 2, Ep. 5 - Lori - Full Episode | MTV",2,5,"16 and Pregnant"
"https://www.mtv.com/episodes/mj62dm/16-and-pregnant-samantha-season-2-ep-6","16 and Pregnant - Season 2, Ep. 6 - Samantha - Full Episode | MTV",2,6,"16 and Pregnant"
"https://www.mtv.com/episodes/nlf0zg/16-and-pregnant-nicole-season-2-ep-7","16 and Pregnant - Season 2, Ep. 7 - Nicole - Full Episode | MTV",2,7,"16 and Pregnant"
"https://www.mtv.com/episodes/xkqudk/16-and-pregnant-leah-season-2-ep-8","16 and Pregnant - Season 2, Ep. 8 - Leah - Full Episode | MTV",2,8,"16 and Pregnant"
"https://www.mtv.com/episodes/dz9czu/16-and-pregnant-lizzie-season-2-ep-9","16 and Pregnant - Season 2, Ep. 9 - Lizzie - Full Episode | MTV",2,9,"16 and Pregnant"
"https://www.mtv.com/episodes/yvudrc/16-and-pregnant-allie-season-3-ep-10","16 and Pregnant - Season 3, Ep. 10 - Allie - Full Episode | MTV",3,10,"16 and Pregnant"
"https://www.mtv.com/episodes/rqng8o/16-and-pregnant-jennifer-season-3-ep-2","16 and Pregnant - Season 3, Ep. 2 - Jennifer - Full Episode | MTV",3,2,"16 and Pregnant"
"https://www.mtv.com/episodes/vdnfm3/16-and-pregnant-jamie-season-3-ep-3","16 and Pregnant - Season 3, Ep. 3 - Jamie - Full Episode | MTV",3,3,"16 and Pregnant"
"https://www.mtv.com/episodes/vkcrw7/16-and-pregnant-danielle-season-3-ep-4","16 and Pregnant - Season 3, Ep. 4 - Danielle - Full Episode | MTV",3,4,"16 and Pregnant"
"https://www.mtv.com/episodes/vrhequ/16-and-pregnant-cleondra-season-3-ep-5","16 and Pregnant - Season 3, Ep. 5 - Cleondra - Full Episode | MTV",3,5,"16 and Pregnant"
"https://www.mtv.com/episodes/aq7b91/16-and-pregnant-izabella-season-3-ep-7","16 and Pregnant - Season 3, Ep. 7 - Izabella - Full Episode | MTV",3,7,"16 and Pregnant"
"https://www.mtv.com/episodes/uxfqqs/16-and-pregnant-kianna-season-3-ep-8","16 and Pregnant - Season 3, Ep. 8 - Kianna - Full Episode | MTV",3,8,"16 and Pregnant"
"https://www.mtv.com/episodes/3m6inr/16-and-pregnant-sabrina-season-4-ep-10","16 and Pregnant - Season 4, Ep. 10 - Sabrina - Full Episode | MTV",4,10,"16 and Pregnant"
"https://www.mtv.com/episodes/lbull7/16-and-pregnant-devon-season-4-ep-11","16 and Pregnant - Season 4, Ep. 11 - Devon - Full Episode | MTV",4,11,"16 and Pregnant"
"https://www.mtv.com/episodes/x3saoa/16-and-pregnant-kristina-season-4-ep-12","16 and Pregnant - Season 4, Ep. 12 - Kristina - Full Episode | MTV",4,12,"16 and Pregnant"
"https://www.mtv.com/episodes/rm8n8a/16-and-pregnant-katie-season-4-ep-2","16 and Pregnant - Season 4, Ep. 2 - Katie - Full Episode | MTV",4,2,"16 and Pregnant"
"https://www.mtv.com/episodes/c2s8nw/16-and-pregnant-briana-season-4-ep-3","16 and Pregnant - Season 4, Ep. 3 - Briana - Full Episode | MTV",4,3,"16 and Pregnant"
