item,url
"AFC Asian Cup", https://www.paramountplus.com/shows/afc-asian-cup/
"AFC Asian Qualifiers", https://www.paramountplus.com/shows/afc-asian-qualifiers/
"AFC Champions League", https://www.paramountplus.com/shows/afc-champions-league/
"AFC Women's Asian Cup", https://www.paramountplus.com/shows/afc-womens-asian-cup/
"Aaahh!!! Real Monsters", https://www.paramountplus.com/shows/aaahh-real-monsters/
"Acapulco Shore", https://www.paramountplus.com/shows/acapulco-shore/
"Action", https://www.paramountplus.com/shows/action/
"Action League Now", https://www.paramountplus.com/shows/action-league-now/
"Active Shooter: America Under Fire", https://www.paramountplus.com/shows/active-shooter/
"Adam Devine's House Party", https://www.paramountplus.com/shows/adam-devines-house-party/
"The Adventures of Jimmy Neutron: Boy Genius", https://www.paramountplus.com/shows/the-adventures-of-jimmy-neutron-boy-genius/
"The Adventures of Kid Danger", https://www.paramountplus.com/shows/the-adventures-of-kid-danger/
"The Adventures of Paddington", https://www.paramountplus.com/shows/the-adventures-of-paddington/
"Adventures of Sonic the Hedgehog", https://www.paramountplus.com/shows/adventures-of-sonic/
"The Adventures of Super Mario Bros. 3", https://www.paramountplus.com/shows/the-adventures-of-super-mario-bros-3/
"Aeon Flux", https://www.paramountplus.com/shows/aeon-flux/
"Aerial Africa", https://www.paramountplus.com/shows/aerial-africa/
"Aerial America", https://www.paramountplus.com/shows/aerial-america/
"Aerial Argentina", https://www.paramountplus.com/shows/aerial-argentina/
"Aerial Britain", https://www.paramountplus.com/shows/aerial-britain/
"Aerial Cities", https://www.paramountplus.com/shows/aerial-cities/
"Aerial Greece", https://www.paramountplus.com/shows/aerial-greece/
"The Affair", https://www.paramountplus.com/shows/the-affair/
"Africa's Hidden Kingdoms", https://www.paramountplus.com/shows/africas-hidden-kingdoms/
"Africa's Hunters", https://www.paramountplus.com/shows/africas-hunters/
"Africa's Wild Horizons", https://www.paramountplus.com/shows/africas-wild-horizons/
"After Midnight", https://www.paramountplus.com/shows/after-midnight/
"Age of Humans", https://www.paramountplus.com/shows/age-of-humans/
"Ahamed’s Ramadan Diary", https://www.paramountplus.com/shows/ahameds-ramadan-diary/
"Air Disasters", https://www.paramountplus.com/shows/air-disasters/
"Air Warriors", https://www.paramountplus.com/shows/air-warriors/
"Alaska Aircrash Investigations", https://www.paramountplus.com/shows/alaska-aircrash-investigations/
"ALL ACCESS", https://www.paramountplus.com/shows/all-access/
"All Grown Up", https://www.paramountplus.com/shows/all-grown-up/
"All Star Shore", https://www.paramountplus.com/shows/all-star-shore/
"All That", https://www.paramountplus.com/shows/all-that/
"Catfish: The TV Show",https://www.paramountplus.com/brands/mtv/
"Alternatino with Arturo Castro", https://www.paramountplus.com/shows/alternatino-with-arturo-castro/
"ALVINNN and The Chipmunks", https://www.paramountplus.com/shows/alvinnn-and-the-chipmunks/
"The Amanda Show", https://www.paramountplus.com/shows/the-amanda-show/
"Amazing Animal Friends", https://www.paramountplus.com/shows/amazing-animal-friends/
"The Amazing Race", https://www.paramountplus.com/shows/amazing_race/
"Amazingness", https://www.paramountplus.com/shows/amazingness/
"America's Hidden Stories", https://www.paramountplus.com/shows/americas-hidden-stories/
"America's Mississippi", https://www.paramountplus.com/shows/americas-mississippi/
"America's Secret Space Heroes", https://www.paramountplus.com/shows/americas-secret-space-heroes/
"America's Wild Seasons", https://www.paramountplus.com/shows/americas-wild-seasons/
"America Decides", https://www.paramountplus.com/shows/america-decides/
"America In Black", https://www.paramountplus.com/shows/america-in-black/
"America in Color", https://www.paramountplus.com/shows/america-in-color/
"An American Aristocrat's Guide to Great Estates", https://www.paramountplus.com/shows/an-american-aristocrats-guide-to-great-estates/
"The Andy Griffith Show", https://www.paramountplus.com/shows/the-andy-griffith-show/
"Angel From Hell", https://www.paramountplus.com/shows/angel-from-hell/
"The Angry Beavers", https://www.paramountplus.com/shows/the-angry-beavers/
"Animal Empires", https://www.paramountplus.com/shows/animal-empires/
"Another Period", https://www.paramountplus.com/shows/another-period/
"Apollo's Moon Shot", https://www.paramountplus.com/shows/apollos-moon-shot/
"Arabian Seas", https://www.paramountplus.com/shows/arabian-seas/
"Arctic Secrets", https://www.paramountplus.com/shows/arctic-secrets/
